Index	Name	Value	Reduced Cost
1300	x_U,N,S,H,A,L,2	125.13	 
1302	x_U,N,S,H,A,L,4	3.87	 
1305	x_U,N,S,H,L,L,2	139.65	 
1307	x_U,N,S,H,L,L,4	7.35	 
1308	x_U,N,S,R,P,L,0	75.66	 
1312	x_U,N,S,R,P,L,4	2.34	 
1313	x_U,N,S,R,D,M,0	57.23	 
1317	x_U,N,S,R,D,M,4	1.77	 
1318	x_U,N,S,R,D,L,0	96.03	 
1322	x_U,N,S,R,D,L,4	2.97	 
1323	x_U,N,S,R,W,S,0	930.23	 
1327	x_U,N,S,R,W,S,4	28.77	 
1328	x_U,N,S,R,W,P,0	161.99	 
1332	x_U,N,S,R,W,P,4	5.01	 
1333	x_U,N,S,R,W,M,0	322.04	 
1337	x_U,N,S,R,W,M,4	9.96	 
1338	x_U,N,S,R,W,L,0	2872.17	 
1342	x_U,N,S,R,W,L,4	88.83	 
1343	x_U,N,S,R,C,S,0	281.3	 
1347	x_U,N,S,R,C,S,4	8.7	 
1348	x_U,N,S,R,C,P,0	252.2	 
1352	x_U,N,S,R,C,P,4	7.8	 
1353	x_U,N,S,R,C,M,0	579.09	 
1357	x_U,N,S,R,C,M,4	17.91	 
1358	x_U,N,S,R,C,L,0	6599.88	 
1362	x_U,N,S,R,C,L,4	204.12	 
1365	x_U,N,S,R,A,S,2	82.45	 
1367	x_U,N,S,R,A,S,4	2.55	 
1370	x_U,N,S,R,A,L,2	72.75	 
1372	x_U,N,S,R,A,L,4	2.25	 
1375	x_U,N,S,R,L,L,2	181.45	 
1377	x_U,N,S,R,L,L,4	9.55	 
1378	x_K,R,N,L,P,M,0	1015.59	 
1382	x_K,R,N,L,P,M,4	31.41	 
1383	x_K,R,N,L,P,L,0	199.82	 
1387	x_K,R,N,L,P,L,4	6.18	 
1388	x_K,R,N,L,D,M,0	155.2	 
1392	x_K,R,N,L,D,M,4	4.8	 
1393	x_K,R,N,L,D,L,0	170.72	 
1397	x_K,R,N,L,D,L,4	5.28	 
1398	x_K,R,N,L,W,S,0	92.15	 
1402	x_K,R,N,L,W,S,4	2.85	 
1403	x_K,R,N,L,W,P,0	454.93	 
1407	x_K,R,N,L,W,P,4	14.07	 
1408	x_K,R,N,L,W,M,0	2127.21	 
1412	x_K,R,N,L,W,M,4	65.79	 
1413	x_K,R,N,L,W,L,0	3645.26	 
1417	x_K,R,N,L,W,L,4	112.74	 
1418	x_K,R,N,L,C,P,0	97.97	 
1422	x_K,R,N,L,C,P,4	3.03	 
